1073,2、 下列何者是維妮願以神秘泉水拯救蟾蜍，讓牠免於危險，並永保安全的主要原因？,(1) 對於狄梅伊的防備,(2) 警官欲提防狄家人,(3) 新監牢的察監規矩,(4) 得意監牢關了犯人
1077,3、 達克在看到維妮的墳墓後，對著墳墓敬禮並大喊「好女孩」，根據你對整篇故事的描述，達克所說的「好女孩」最主要應是稱讚維妮甚麼呢？,(1) 和牠有特殊情感,(2) 蟾蜍對抗不了狗,(3) 小樹林泉水不竭,(4) 試驗泉水的功效
1078,4、 達克對維妮述說何謂生命，並以輪子的比喻來說明生命的自然法則。達克所說的「狄家人不叫做活著，只是存在」，由此可知達克對神秘泉水所造成的結果有什麼樣的感受？,(1) 沒有喝下泉水,(2) 沒有洩露祕密,(3) 解救了狄梅伊,(4) 成為個好母親
1065,5、 在此書中維妮對狄家人的好感由哪些方面看不出來？,(1) 憤怒,(2) 感恩,(3) 妒忌,(4) 冷漠
1063,6、 狄家的男主人達克深信萬物自有循環法則，人類不應隨意破壞它，這樣的生命態度由那些描述可以看得出來？,(1) 擔心傅爸來找她時會如何對待狄家人,(2) 小樹林中令維妮一見傾心的男孩傑西,(3) 維妮看到達克時感受到的溫暖和歡喜,(4) 狄家人滿是塵埃、雜亂不起眼的小屋
1080,7、 麥斯的太太認為麥斯把靈魂賣給了惡魔，因此帶走兩個孩子離開了麥斯，她如此認定的原因是甚麼？,(1) 只有睡著時才露出微笑,(2) 用獵槍射殺自己做試驗,(3) 在吃東西進食時不說話,(4) 不會花大錢買生命泉水
1081,8、 順利搶救梅伊後，狄家人一一擁抱親吻維妮，最後傑西對維妮輕聲說了「記住！」傑西要維妮記住的是甚麼？,(1) 麥斯從不工作,(2) 麥斯不會受傷,(3) 麥斯永保年輕,(4) 麥斯保有祕密
1074,9、 維妮回到傅家後解釋一切，但傅家人都不相信維妮的出走是出於自願，下列何者是傅家人不肯相信的主要原因？,(1) 神祕小樹林,(2) 狄家人祕密,(3) 十七歲之約,(4) 黃色西裝人
1070,10、 聽到梅伊可能將判死刑，維妮唯一想到的就是：梅伊絕不能上絞架。最主要的原因是甚麼？,(1) 聽到精靈音樂，覺得是精靈對維妮施了妖術,(2) 黃色西裝陌生人對傅家人說了很多狄家壞話,(3) 得知黃色西裝的陌生人和狄家人所發生的事,(4) 維妮從狄家回來之後和以前的維妮不大相同
1069,10、 聽到梅伊可能將判死刑，維妮唯一想到的就是：梅伊絕不能上絞架。最主要的原因是甚麼？,(1) 狄家人不能失去狄梅伊,(2) 黃色西裝的陌生人該死,(3) 喝了泉水的梅伊不能死,(4) 喝了泉水的梅伊不會死
1083,3、 維妮回到傅家後解釋一切，但傅家人都不相信維妮的出走是出於自願，下列何者是傅家人不肯相信的主要原因？,(1) 自由的價值,(2) 貪念的可怕,(3) 生命的意義,(4) 親情的珍貴
1067,5、 下列何者是維妮願以神秘泉水拯救蟾蜍，讓牠免於危險，並永保安全的主要原因？,(1) 想要以狄家人和維妮來大賺一筆,(2) 想得到神秘泉水並藉此大賺一筆,(3) 也想要得到神秘泉水的神奇功效,(4) 印證祖母所說荒誕故事的真實性
1082,7、 維妮成為狄家人共犯後，傅家人無法理解維妮的行為，維妮唯一的解釋也是唯一的真相是甚麼？,(1) 遇困難就交給家人,(2) 做事完全隨興所至,(3) 正經地像個牧師般,(4) 任何地方都不待久
